Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
65,/sports/pro_athlete/teams./sports/sports_team_roster/team,69,359,M-N,1.5942028985507246,0.8256038721056952,0.7246376811594203,0.8985507246376812,1.0
66,/base/schemastaging/athlete_extra/salary./base/schemastaging/athlete_salary/team,2,36,1-1,1.0,1.0,1.0,1.0,1.0
67,/music/artist/track_contributions./music/track_contribution/role,204,343,M-N,218.2892156862745,0.26144614874147903,0.19852941176470587,0.2622549019607843,0.3872549019607843
68,/organization/organization/acquired_by./business/acquisition/acquiring_company,3,27,M-1,1.0,1.0,1.0,1.0,1.0
69,/music/instrument/instrumentalists,215,362,1-N,243.35116279069769,0.3515143815861192,0.28837209302325584,0.3697674418604651,0.4697674418604651
70,/military/military_combatant/military_conflicts./military/military_combatant_group/conflict,39,363,M-N,1.5897435897435896,0.8885302421374198,0.8333333333333334,0.9615384615384616,0.9871794871794872
71,/people/person/education./education/education/institution,276,347,M-1,2603.06884057971,0.18081453572148862,0.15579710144927536,0.1956521739130435,0.22282608695652173
72,/award/award_category/winners./award/award_honor/honored_for,371,350,1-N,646.743935309973,0.1957170635542137,0.15498652291105122,0.19811320754716982,0.27358490566037735
73,/people/person/gender,429,351,M-1,1443.079254079254,0.37746591279000946,0.3275058275058275,0.4160839160839161,0.44871794871794873
74,/business/job_title/people_with_this_title./business/employment_tenure/company,68,352,M-N,18.808823529411764,0.6804263171027688,0.6029411764705882,0.7205882352941176,0.8088235294117647
75,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,187,346,1-1,967.7486631016043,0.2842562058392693,0.24064171122994651,0.28609625668449196,0.3663101604278075
76,/fictional_universe/fictional_character/occupation,2,16,1-1,1.0,1.0,1.0,1.0,1.0
77,/education/field_of_study/students_majoring./education/education/institution,281,352,M-N,161.2491103202847,0.2101890591115714,0.16370106761565836,0.20462633451957296,0.298932384341637
78,/business/business_operation/industry,40,324,M-1,4.7375,0.9439422607421875,0.925,0.975,0.975
79,/award/award_category/winners./award/award_honor/award_winner,610,344,1-N,1791.711475409836,0.12133690255587218,0.09262295081967213,0.12377049180327869,0.17049180327868851
80,/award/award_winner/awards_won./award/award_honor/ceremony,290,359,M-1,1115.698275862069,0.2208440057162581,0.19137931034482758,0.2206896551724138,0.2775862068965517
81,/location/hud_foreclosure_area/hhuniv./measurement_unit/dated_integer/source,104,351,M-1,79.67788461538461,0.7439024998591497,0.7403846153846154,0.7403846153846154,0.7451923076923077
82,/location/us_county/hud_county_place,33,278,1-1,1.0,1.0,1.0,1.0,1.0
83,/location/statistical_region/gni_in_ppp_dollars./measurement_unit/dated_money_value/currency,16,141,M-1,1.03125,0.984375,0.96875,1.0,1.0
84,/people/person/nationality,479,361,M-1,1917.7066805845511,0.2574090021886009,0.22129436325678498,0.2745302713987474,0.3173277661795407
85,/sports/sports_team/roster./baseball/baseball_roster_position/position,20,175,M-N,1.175,0.9395833015441895,0.9,0.975,1.0
86,/music/performance_role/regular_performances./music/group_membership/member,78,353,M-N,30.647435897435898,0.6521388811942859,0.6025641025641025,0.6666666666666666,0.75
88,/people/cause_of_death/people,78,351,1-N,668.5576923076923,0.60040283203125,0.5641025641025641,0.6153846153846154,0.6794871794871795
89,/tv/tv_program/languages,30,247,M-1,1.3333333333333333,0.9568253835042317,0.95,0.95,1.0
90,/user/alexander/philosophy/subject/philosophers,6,99,M-N,1.6666666666666667,0.9259258906046549,0.9166666666666666,0.9166666666666666,1.0
91,/common/annotation_category/annotations./common/webpage/topic,638,356,1-N,3674.135579937304,0.21216932434273364,0.1731974921630094,0.2358934169278997,0.27037617554858934
92,/music/genre/parent_genre,73,346,M-N,254.4041095890411,0.6232826023885648,0.5684931506849316,0.6301369863013698,0.726027397260274
93,/base/popstra/celebrity/breakup./base/popstra/breakup/participant,18,150,1-1,1.0277777777777777,0.9861111111111112,0.9722222222222222,1.0,1.0
94,/influence/influence_node/influenced,223,367,M-N,979.896860986547,0.2781490274608937,0.2399103139013453,0.2825112107623318,0.34977578475336324
95,/location/country/capital,15,141,1-1,2.533333333333333,0.9361159642537434,0.9333333333333333,0.9333333333333333,0.9333333333333333
96,/film/special_film_performance_type/film_performance_type./film/performance/film,10,127,1-N,1.0,1.0,1.0,1.0,1.0
97,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/sport,242,351,M-N,33.64462809917355,0.2902480196361699,0.2190082644628099,0.28512396694214875,0.4318181818181818
98,/film/writer/film,110,343,1-N,536.3545454545455,0.64853647405451,0.5909090909090909,0.7,0.7363636363636363
99,/soccer/football_team/current_roster./sports/sports_team_roster/player,62,348,M-N,1.435483870967742,0.8654761775847404,0.782258064516129,0.9596774193548387,1.0
100,/film/film/starring./film/performance/character,6,61,M-1,1.0,1.0,1.0,1.0,1.0
101,/location/hud_county_place/place,48,343,1-1,1.0,1.0,1.0,1.0,1.0
102,/location/country/administrative_divisions,34,352,1-N,3.661764705882353,0.9657688140869141,0.9558823529411765,0.9852941176470589,0.9852941176470589
103,/organization/organization/leadership./organization/leadership/role,82,338,M-1,55.579268292682926,0.6439434144555068,0.6097560975609756,0.6585365853658537,0.6890243902439024
104,/music/performance_role/guest_performances./music/recording_contribution/performance_role,55,346,M-N,4.281818181818182,0.7809147921475497,0.7090909090909091,0.8363636363636363,0.9090909090909091
105,/location/location/adjoin_s./location/adjoining_relationship/adjoins,244,357,1-1,685.3709016393443,0.222023072789927,0.17827868852459017,0.21721311475409835,0.3094262295081967
106,/film/film_subject/films,60,356,1-N,669.05,0.6746073404947917,0.6416666666666667,0.6916666666666667,0.75
107,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,46,345,M-1,211.7391304347826,0.8066023121709409,0.8043478260869565,0.8043478260869565,0.8043478260869565
108,/government/form_of_government/countries,38,294,M-N,1.0263157894736843,0.9912281036376953,0.9868421052631579,1.0,1.0
109,/education/educational_institution/colors,93,356,M-1,116.00537634408602,0.5176346481487315,0.4731182795698925,0.510752688172043,0.6182795698924731
110,/base/aareas/schema/administrative_area/administrative_parent,58,348,M-1,14.78448275862069,0.8048418636979728,0.7586206896551724,0.8362068965517241,0.853448275862069
111,/government/political_appointer/appointees./government/government_position_held/basic_title,6,42,M-1,1.5833333333333333,0.8263889153798422,0.75,0.9166666666666666,1.0
112,/organization/organization/sectors,3,25,1-1,1.0,1.0,1.0,1.0,1.0
113,/organization/role/leaders./organization/leadership/organization,71,346,1-N,64.97183098591549,0.6563204375790878,0.6197183098591549,0.676056338028169,0.704225352112676
114,/location/location/people_born_here,267,357,1-N,2740.4625468164795,0.23757930284135798,0.2153558052434457,0.24719101123595505,0.2752808988764045
115,/medicine/risk_factor/diseases,20,159,M-N,1.025,0.9875,0.975,1.0,1.0
117,/government/legislative_session/members./government/government_position_held/legislative_sessions,93,349,M-N,5.564516129032258,0.5116858533633653,0.40860215053763443,0.5161290322580645,0.7795698924731183
118,/olympics/olympic_games/sports,82,358,M-N,3.823170731707317,0.6269156293171209,0.524390243902439,0.6646341463414634,0.8963414634146342
119,/people/person/places_lived./people/place_lived/location,381,353,M-1,2405.6942257217847,0.13848530526549171,0.1194225721784777,0.14173228346456693,0.16535433070866143
120,/government/legislative_session/members./government/government_position_held/governmental_body,8,90,M-N,1.0,1.0,1.0,1.0,1.0
121,/location/hud_foreclosure_area/estimated_number_foreclosures./measurement_unit/dated_integer/source,100,350,M-1,98.795,0.6778700256347656,0.675,0.675,0.68
122,/award/award_category/disciplines_or_subjects,21,200,M-N,1.0476190476190477,0.9761904761904762,0.9523809523809523,1.0,1.0
123,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,77,350,M-N,28.753246753246753,0.5366844573578278,0.5064935064935064,0.512987012987013,0.5909090909090909
124,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,131,367,M-N,19.53435114503817,0.3460717820029222,0.25572519083969464,0.3549618320610687,0.5381679389312977
125,/language/human_language/countries_spoken_in,32,322,M-N,1.375,0.9642857313156128,0.953125,0.984375,0.984375
126,/symbols/namesake/named_after,14,86,M-1,1.0357142857142858,0.9821428571428571,0.9642857142857143,1.0,1.0
127,/organization/organization/phone_number./common/phone_number/category,7,66,M-1,1.0,1.0,1.0,1.0,1.0
128,/award/award_winner/awards_won./award/award_honor/honored_for,332,358,1-1,1370.9081325301204,0.3052466289106622,0.25301204819277107,0.32831325301204817,0.39457831325301207
129,/people/ethnicity/people,215,355,1-N,1475.0720930232558,0.3246931209120639,0.27906976744186046,0.35348837209302325,0.40232558139534885
