Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
327,/basketball/basketball_team/roster./sports/sports_team_roster/position,26,177,M-N,9.384615384615385,0.42276833607600284,0.2692307692307692,0.5,0.7115384615384616
328,/film/film/story_by,48,346,M-1,48.947916666666664,0.7838792006174723,0.6770833333333334,0.90625,0.9375
329,/tv/tv_program/recurring_writers./tv/tv_program_writer_relationship/writer,33,273,1-N,3.4696969696969697,0.6812180027817235,0.5454545454545454,0.7878787878787878,0.9090909090909091
330,/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,11,192,M-N,13.409090909090908,0.23913158069957385,0.09090909090909091,0.22727272727272727,0.5454545454545454
331,/transportation/road/major_cities,1,21,1-N,7.0,0.5384615659713745,0.5,0.5,0.5
332,/basketball/basketball_position/player_roster_position./basketball/basketball_roster_position/team,20,167,M-N,8.075,0.36833388805389405,0.175,0.475,0.775
333,/education/educational_degree/people_with_this_degree./education/education/specialization,12,73,1-N,2.8333333333333335,0.6519097089767456,0.5,0.7916666666666666,0.9583333333333334
334,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/source,2,12,M-1,4.75,0.5607142448425293,0.5,0.5,1.0
335,/olympics/olympic_games/participating_countries,61,352,M-N,21.983606557377048,0.30866819913270044,0.18032786885245902,0.3442622950819672,0.5737704918032787
336,/base/marchmadness/ncaa_basketball_team/ncaa_tournament_seeds./base/marchmadness/ncaa_tournament_seed/tournament,39,342,M-N,7.064102564102564,0.24782185676770332,0.08974358974358974,0.19230769230769232,0.7692307692307693
337,/film/film_distribution_medium/films_distributed_in_this_medium./film/film_film_distributor_relationship/film,32,291,1-N,23.03125,0.4246724843978882,0.296875,0.53125,0.5625
338,/education/educational_institution/sexes_accepted./education/gender_enrollment/sex,3,26,M-N,10.0,0.3700534502665202,0.16666666666666666,0.5,0.6666666666666666
339,/government/governmental_body/members./government/government_position_held/office_holder,10,68,M-N,5.8,0.4743659019470215,0.25,0.75,0.8
340,/tv/tv_network/programs./tv/tv_network_duration/program,40,295,1-N,6.1125,0.6028036117553711,0.4875,0.6625,0.7875
342,/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject,42,362,1-N,128.0,0.5047262736729213,0.5,0.5,0.5119047619047619
343,/computer/operating_system/parent_os,3,9,1-1,2.1666666666666665,0.6166666746139526,0.3333333333333333,0.8333333333333334,1.0
344,/sports/sports_team/roster./sports/sports_team_roster/player,67,353,M-1,3.3208955223880596,0.5442758816391674,0.373134328358209,0.6044776119402985,0.9776119402985075
345,/basketball/basketball_team/roster./basketball/basketball_roster_position/position,25,162,M-N,8.32,0.35431495666503904,0.16,0.48,0.7
346,/military/military_combatant/military_commanders./military/military_command/military_commander,5,36,1-N,2.1,0.7875,0.7,0.8,1.0
347,/sports/pro_athlete/teams./basketball/basketball_historical_roster_position/team,2,31,1-N,1.25,0.875,0.75,1.0,1.0
348,/people/person/employment_history./business/employment_tenure/company,41,314,M-1,2.0609756097560976,0.7749557495117188,0.6585365853658537,0.8902439024390244,0.9878048780487805
349,/music/artist/origin,68,352,M-1,844.3897058823529,0.43036634781781363,0.35294117647058826,0.47794117647058826,0.5514705882352942
350,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,48,356,1-N,172.05208333333334,0.5092041492462158,0.5,0.5104166666666666,0.5208333333333334
351,/royalty/royal_line/kingdom_s_ruled,1,20,1-N,1.0,1.0,1.0,1.0,1.0
352,/medicine/disease/causes,2,29,1-N,6.0,0.38035714626312256,0.25,0.25,0.75
353,/american_football/football_player/former_teams./sports/sports_team_roster/team,7,42,1-N,1.8571428571428572,0.7440476417541504,0.5714285714285714,0.8571428571428571,1.0
355,/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,35,273,M-1,3.1714285714285713,0.6603496551513672,0.4857142857142857,0.8,0.9428571428571428
356,/time/event/locations,51,350,M-N,3.264705882352941,0.5809715495390051,0.4215686274509804,0.6862745098039216,0.9803921568627451
357,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/players,2,15,1-N,1.0,1.0,1.0,1.0,1.0
358,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,16,233,1-1,1.65625,0.8315972089767456,0.71875,0.9375,1.0
359,/tv/tv_program/spun_off_from,6,18,1-1,1.5833333333333333,0.8472222487131754,0.75,0.9166666666666666,1.0
360,/base/popstra/celebrity/lived_with./base/popstra/lived_with/participant,10,81,1-1,1.45,0.8083333015441895,0.65,1.0,1.0
361,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,10,105,1-N,8.3,0.542735242843628,0.45,0.6,0.65
362,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,61,349,M-1,98.29508196721312,0.5060884757120101,0.4918032786885246,0.5,0.5327868852459017
363,/government/legislative_session/members./government/government_position_held/office_holder,16,202,M-N,6.28125,0.3086605966091156,0.125,0.3125,0.84375
364,/government/politician/party./government/political_party_tenure/party,10,98,M-1,6.3,0.6336816310882568,0.5,0.75,0.8
365,/people/cause_of_death/includes_causes_of_death,6,38,1-N,5.0,0.6284090677897135,0.5833333333333334,0.5833333333333334,0.75
366,/government/politician/government_positions_held./government/government_position_held/appointed_by,4,29,M-1,1.875,0.6041666865348816,0.25,1.0,1.0
368,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,15,122,M-1,34.63333333333333,0.5194302876790364,0.5,0.5,0.5666666666666667
369,/award/award_category/presenting_organization,6,83,M-1,7.666666666666667,0.5575817823410034,0.5,0.5,0.8333333333333334
371,/base/saints/saint/venerated_in,2,23,M-N,1154.5,0.31271815299987793,0.25,0.25,0.5
373,/film/film_art_director/films_art_directed,11,91,1-N,2.8636363636363638,0.6873890269886364,0.5454545454545454,0.8181818181818182,0.9545454545454546
374,/education/educational_institution/subsidiary_or_constituent_schools,10,86,1-N,16.25,0.7210754871368408,0.7,0.7,0.75
375,/film/actor/dubbing_performances./film/dubbing_performance/film,9,117,M-N,2.7222222222222223,0.5773809750874838,0.3888888888888889,0.6111111111111112,1.0
376,/soccer/football_league/teams./soccer/football_league_participation/team,5,50,1-N,6.1,0.5471861362457275,0.5,0.5,0.6
377,/film/film_character/portrayed_in_films./film/performance/film,5,57,1-N,4.5,0.6905128002166748,0.6,0.7,0.9
378,/location/country/languages_spoken,41,319,M-N,6.121951219512195,0.49300505475300116,0.3048780487804878,0.5975609756097561,0.8658536585365854
379,/education/educational_institution/students_graduates./education/education/minor,7,60,M-1,1.8571428571428572,0.8435374668666294,0.7857142857142857,0.8571428571428571,1.0
380,/user/ktrueman/default_domain/international_organization/member_states,23,176,1-N,24.23913043478261,0.44054346499235736,0.32608695652173914,0.5217391304347826,0.6086956521739131
381,/tv/tv_program/regular_personal_appearances./tv/tv_regular_personal_appearance/person,8,109,1-N,4.125,0.5816449522972107,0.375,0.75,0.9375
382,/award/award_winning_work/awards_won./award/award_honor/ceremony,84,350,M-1,352.07738095238096,0.34781655811128165,0.23214285714285715,0.40476190476190477,0.5773809523809523
383,/american_football/football_team/current_roster./sports/sports_team_roster/position,60,349,M-N,16.475,0.1841660499572754,0.05,0.2,0.525
384,/soccer/football_player/current_team./sports/sports_team_roster/team,47,355,M-N,3.8297872340425534,0.4856703332129945,0.2872340425531915,0.5851063829787234,0.9680851063829787
385,/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal,9,97,M-N,11.166666666666666,0.3362808757358127,0.1111111111111111,0.5555555555555556,0.6666666666666666
386,/organization/organization/legal_structure,5,78,M-1,5.1,0.6122377395629883,0.5,0.7,0.8
387,/base/schemastaging/athlete_extra/salary./base/schemastaging/athlete_salary/currency,5,40,M-1,3.8,0.5576622962951661,0.4,0.6,0.9
389,/award/ranked_item/appears_in_ranked_lists./award/ranking/list,48,335,M-1,18.96875,0.4935543139775594,0.4270833333333333,0.5208333333333334,0.5833333333333334
390,/people/person/education./education/education/major_field_of_study,26,274,M-1,4.230769230769231,0.6536120634812576,0.5576923076923077,0.6730769230769231,0.9038461538461539
391,/film/film_set_designer/film_sets_designed,13,108,1-N,6.269230769230769,0.5931965387784518,0.5,0.5384615384615384,0.8846153846153846
392,/government/political_appointer/appointees./government/government_position_held/jurisdiction_of_office,6,38,M-1,4.833333333333333,0.5581426620483398,0.4166666666666667,0.6666666666666666,0.8333333333333334
393,/user/jg/default_domain/olympic_games/sports,65,360,M-N,10.823076923076924,0.18009027334359975,0.038461538461538464,0.16923076923076924,0.5692307692307692
394,/education/educational_degree/people_with_this_degree./education/education/minor,6,53,M-N,7.5,0.5323232412338257,0.4166666666666667,0.5833333333333334,0.75
395,/sports/sports_team/roster./soccer/football_roster_position/player,55,359,M-N,3.5090909090909093,0.5283984791148792,0.33636363636363636,0.6545454545454545,0.9363636363636364
396,/people/person/sibling_s./people/sibling_relationship/sibling,11,131,1-1,67.95454545454545,0.8789303519509055,0.8636363636363636,0.9090909090909091,0.9090909090909091
397,/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,36,341,M-N,10.222222222222221,0.18675400151146782,0.05555555555555555,0.16666666666666666,0.5138888888888888
398,/tv/tv_program/original_network./tv/tv_network_duration/network,31,296,M-1,6.161290322580645,0.5648756950132309,0.43548387096774194,0.6451612903225806,0.7903225806451613
